Entity,Last name,Occupation/role in history,National/Ethnic Origin,Race,"If Asian, in U.S.?",
Hernán Cortés,Cortés,Explorer,Spanish,White,N/A,
Crocker Crocker,Crocker,Businessman,American,White,N/A,
Charles Crocker,Crocker,Businessman,American,White,N/A,
Crocker,Crocker,Businessman,American,White,N/A,
Jim Crow,Crow,N/A,N/A,N/A,N/A,
Philip Vera Cruz,Cruz,Activist,Filipino,Asian,Yes,
Nguyen Sinh Cung,Cung,Politician,Vietnamese,Asian,No,
Cushing,Cushing,"Lawyer, Scholar",American,White,N/A,
Kim Dae-jung,Dae-jung,Politician,Korean,Asian,No,
Roger Daniels,Daniels,"Writer, Historian",American,White,N/A,
George Dewey,Dewey,Military,American,White,N/A,
Dewey,Dewey,Military,American,White,N/A,
A. Peter Dewey,Dewey,Military,American,White,N/A,
Zhu Di,Di,"Government, Emperor",Chinese,Asian,No,
Diem,Diem,Politician,Vietnamese,Asian,No,
Ngo Dinh Diem,Diem,Politician,Vietnamese,Asian,No,
Ngo Dinh Diem's,Diem's,Politician,Vietnamese,Asian,No,
Dinh,Dinh,Politician,Vietnamese,Asian,Yes,
Viet Dinh,Dinh,Politician,Vietnamese,Asian,Yes,
James Doolittle,Doolittle,Military,American,White,N/A,
Doolittle,Doolittle,Military,American,White,N/A,
Doolittles,Doolittles,Military,American,White,N/A,
Doves,Doves,N/A,N/A,N/A,N/A,
John W. Dower,Dower,Historian,American,White,N/A,
John W. Dower's,Dower's,Historian,American,White,N/A,
Dulles,Dulles,Politician,American,White,N/A,
Kearneyites,earneyites,N/A,N/A,N/A,N/A,
Eisenhower,Eisenhower,Politician,American,White,N/A,
Ellsberg,Ellsberg,Military,American,White,N/A,
Delos Emmons,Emmons,Military,American,White,N/A,
Zhou Enlai,Enlai,Politician,Chinese,Asian,No,
James Farmer,Farmer,Activist,American,Black,N/A,
FDR,FDR,Politician,American,White,N/A,
Millard Fillmore,Fillmore,Politician,American,White,N/A,
Fonda,Fonda,"Activist, Actress",American,White,N/A,
Hiran1 Leong Fong,Fong,Politician,American,Asian,Yes,
Fong,Fong,Politician,American,Asian,Yes,
Ford,Ford,Politician,American,White,N/A,
Gerald Ford,Ford,Politician,American,White,N/A,
Al Fossett,Fossett,Military,American,White,N/A,
Jun Fujita,Fujita,"Photographer, Journalist",American,Asian,Yes,
J.William Fulbright,Fulbright,Politician,American,White,N/A,
Yoichi Funabashi,Funabashi,Author,Japanese,Asian,No,
Vasco da Gama,Gama,Explorer,Portoguese,White,N/A,
Vasco da Gama's,Gama's,Explorer,Portoguese,White,N/A,
Lloyd George,George,Politician,British,White,N/A,
Henry George,George,Author,American,White,N/A,
Barry Goldwater,Goldwater,Politician,American,White,N/A,
Samuel Gompers,Gompers,Activist,American,White,N/A,
Salvador Gonzalez,Gonzalez,Military,American,White / Hispanic,N/A,
Gorbachev,Gorbachev,Politician,Russian,White,N/A,
Madison Grant,Grant,Eugenicist,American,White,N/A,
Gray,Gray,Military,American,Unknown,N/A,
William Grayson,Grayson,"Military, Politician",American,White,N/A,
Gromyko,Gromyko,Politician,Russian,White,N/A,
Andrey Gromyko,Gromyko,Politician,Russian,White,N/A,
"Ernesto ""Che"" Guevara",Guevara,Military,"Cuban, Argentine",Hispanic / White,N/A,
Emilio Aguinaldo's,guinaldo's,Politician,Filipino,Asian,No,
Harris,Harris,Politician,American,White,N/A,
John Hay,Hay,Politician,American,White,N/A,
Hay,Hay,Politician,American,White,N/A,
